gpu_guid,model,vendor,memory_total_bytes,compute_capability,pcie_gen,driver_version,power_limit_w,first_seen_at,last_seen_at,specs
GPU-eb2cb393-3c11-90d9-ba08-4baba2996d30,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.727804,2026-04-10 23:48:01.588985,
GPU-76d48915-8d58-dc57-484d-70b3b1fea508,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.753859,2026-04-10 23:48:02.019748,
GPU-4de1cd1e-b798-29e9-0ae7-de312561a887,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.77034,2026-04-10 23:48:02.0341,
GPU-ec5df313-c3b4-a398-2caf-51236262fd81,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.793824,2026-04-10 23:48:02.048174,
GPU-9afc8e70-5151-3579-d46d-71123d97ede5,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.814045,2026-04-10 23:48:02.063136,
GPU-9767af1f-17be-b283-dede-87c444f1bd1a,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.825677,2026-04-10 23:48:02.080712,
GPU-02f65958-5ec8-49bb-736d-decba92cd578,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.837483,2026-04-10 23:48:02.097023,
GPU-f386aa29-a8b7-68e2-a891-ae12e42a644c,Tesla V100-SXM2-16GB,nvidia,,,,,,2026-04-10 23:42:18.852549,2026-04-10 23:48:02.111447,
