# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     28     26      6      1      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      4      0 
    1     57     30     26      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    2     59     32     31      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    3     58     31     27      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    4     58     29     27      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      1      0 
    5     59     30     30      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    6     60     30     26      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    7     57     28     25      0      0      0      0      -      -    877   1312      0      0      0      2      0      0      0      0      0      0 
    0     43     27     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0     30      3 
    1     42     29     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      1      3 
    2     43     32     31      1      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      1      0 
    3     44     30     27      1      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    4     42     29     27      1      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    5     44     30     30      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    6     43     29     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    7     42     27     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    0     43     27     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    2     43     31     31      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    3     44     30     26      0      0      0      0      -      -    877    420      0      0      4      4      0      0      0      0      0      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    6     43     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      3      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      1      0 
    2     60     32     31      5      1      0      0      -      -    877   1312      0      0    676      6      0      0      0      0      1      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      1      0 
    4     59     29     27      2      0      0      0      -      -    877   1312      0      0     62      6      0      0      0      0      2      0 
    5     43     29     30      0      0      0      0      -      -    877    135      0      0     16      6      0      0      0      0     75    196 
    6     43     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      1      2 
    7    146     30     31    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     11 
    0    143     30     31    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    1    143     32     33    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     43     12 
    2    150     37     39    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    3    142     33     32    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    4    147     33     34    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     40     12 
    5    145     33     35    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    6    154     33     34    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    7    145     31     33    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    0    144     31     32    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    1    144     33     35    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     43     12 
    2    150     38     40    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    3    142     34     34    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    4    148     34     36    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    5    145     34     36    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    6    154     34     35    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     39     11 
    7    145     32     34    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     40     12 
    0    143     32     33    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    1    144     34     36    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     45     12 
    2    150     39     41    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     41     12 
    3    143     35     35    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     40     12 
    4    148     35     36    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     43     12 
    5    146     35     37    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     42     12 
    6    155     34     36    100    100      0      0      -      -    877   1530      0      0    772      6      0      0      0      0     40     11 
