# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     42     27     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      3      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     32     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    0     42     27     25      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    1     42     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      1      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0      8      5 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      0      2      0      0      0      0     63      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      1      3 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      2      0 
    0    169     31     37    100    100      0      0      -      -    877   1530      0      0   2362      6      0      0      0      0     24      8 
    1     41     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    0    176     32     39    100    100      0      0      -      -    877   1530      0      0   2362      6      0      0      0      0     24      9 
    1     41     29     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      3      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      3      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    0    176     33     40    100    100      0      0      -      -    877   1530      0      0   2362      6      0      0      0      0     24      8 
    1     41     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      1      0 
    0    177     34     41    100    100      0      0      -      -    877   1530      0      0   2362      6      0      0      0      0     24      8 
    1     41     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    2     42     31     31      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    3     43     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    4     42     28     27      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    5     43     30     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    6     42     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    7     41     27     25      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    0    177     34     41    100    100      0      0      -      -    877   1530      0      0   2362      6      0      0      0      0     24      8 
    1     41     29     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    2     42     31     30      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    3     43     30     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
    4     42     28     26      0      0      0      0      -      -    877    135      0      0      4      4      0      0      0      0      0      0 
